"Step","SHF-Accum-v2-128 - score_train_avg","SHF-Accum-v2-128 - score_train_avg__MIN","SHF-Accum-v2-128 - score_train_avg__MAX","SHF-Accum-v2-64 - score_train_avg","SHF-Accum-v2-64 - score_train_avg__MIN","SHF-Accum-v2-64 - score_train_avg__MAX","SHF-Accum-v2-32 - score_train_avg","SHF-Accum-v2-32 - score_train_avg__MIN","SHF-Accum-v2-32 - score_train_avg__MAX","SHF-Accum-v2-16 - score_train_avg","SHF-Accum-v2-16 - score_train_avg__MIN","SHF-Accum-v2-16 - score_train_avg__MAX","SHF-Accum-v2-8 - score_train_avg","SHF-Accum-v2-8 - score_train_avg__MIN","SHF-Accum-v2-8 - score_train_avg__MAX","SHF-Accum-v2-4 - score_train_avg","SHF-Accum-v2-4 - score_train_avg__MIN","SHF-Accum-v2-4 - score_train_avg__MAX","SHF-Accum-v2-3 - score_train_avg","SHF-Accum-v2-3 - score_train_avg__MIN","SHF-Accum-v2-3 - score_train_avg__MAX","SHF-Accum-v2-2 - score_train_avg","SHF-Accum-v2-2 - score_train_avg__MIN","SHF-Accum-v2-2 - score_train_avg__MAX","SHF-Accum-v2-1 - score_train_avg","SHF-Accum-v2-1 - score_train_avg__MIN","SHF-Accum-v2-1 - score_train_avg__MAX","SHF-Accum-v2-0 - score_train_avg","SHF-Accum-v2-0 - score_train_avg__MIN","SHF-Accum-v2-0 - score_train_avg__MAX"
"30","","","","","","","","","","","","","","","","","","","-2.6207275390625","-2.6207275390625","-2.6207275390625","-2.7811279296875","-2.7811279296875","-2.7811279296875","-3.265625","-3.265625","-3.265625","","",""
"31","","","","","","","","","","","","","","","","","","","","","","","","","-1.2777099609375","-1.2777099609375","-1.2777099609375","","",""
"32","","","","","","","-2.679358720779419","-2.679358720779419","-2.679358720779419","-2.8690145015716553","-2.8690145015716553","-2.8690145015716553","-3.0515060424804688","-3.0515060424804688","-3.0515060424804688","-2.1410064697265625","-2.1410064697265625","-2.1410064697265625","","","","-1.52978515625","-1.52978515625","-1.52978515625","-2.0772705078125","-2.0772705078125","-2.0772705078125","","",""
"33","","","","","","","","","","","","","","","","","","","-2.4418741861979165","-2.4418741861979165","-2.4418741861979165","","","","-3.814453125","-3.814453125","-3.814453125","","",""
"34","","","","","","","","","","","","","","","","","","","","","","-2.78582763671875","-2.78582763671875","-2.78582763671875","-1.62109375","-1.62109375","-1.62109375","","",""
"35","","","","","","","","","","","","","","","","","","","","","","","","","-4.9716796875","-4.9716796875","-4.9716796875","","",""
"36","","","","","","","","","","","","","","","","-2.84918212890625","-2.84918212890625","-2.84918212890625","-2.5511067708333335","-2.5511067708333335","-2.5511067708333335","-3.15484619140625","-3.15484619140625","-3.15484619140625","-1.34521484375","-1.34521484375","-1.34521484375","","",""
"37","","","","","","","","","","","","","","","","","","","","","","","","","-3.0888671875","-3.0888671875","-3.0888671875","","",""
"38","","","","","","","","","","","","","","","","","","","","","","-3.2735595703125","-3.2735595703125","-3.2735595703125","-2.895751953125","-2.895751953125","-2.895751953125","","",""
"39","","","","","","","","","","","","","","","","","","","-4.042561848958333","-4.042561848958333","-4.042561848958333","","","","-5.45654296875","-5.45654296875","-5.45654296875","","",""
